aiohttp,49762,19.20,19.26,19.39,19.29,0,0,0
blacksheep,145987,7.54,8.37,8.85,6.55,0,0,0
baize,93868,10.37,10.60,10.80,10.21,0,0,0
starlette,108392,10.65,11.36,11.79,8.82,0,0,0
django,16101,57.11,58.56,73.90,59.51,0,0,0
fastapi,81313,13.93,15.34,15.92,11.78,0,0,0
tornado,42582,22.52,22.57,22.67,22.55,0,0,0
aiohttp,41805,22.66,23.00,24.33,22.95,0,0,0
blacksheep,130469,7.80,9.54,10.10,7.32,0,0,0
baize,79136,12.03,12.63,13.52,12.12,0,0,0
starlette,87934,11.01,14.04,15.39,10.88,0,0,0
django,12771,71.12,80.97,91.77,75.04,0,0,0
fastapi,69278,14.67,18.02,19.10,13.82,0,0,0
tornado,33714,28.12,29.36,31.03,28.46,0,0,0
